2023-06-16	2 326,12	2 311,23	2 322,64		1	
2023-06-15	2 317,44	2 292,55	2 310,66		1	
2023-06-14	2 315,23	2 303,69	2 312,75		1	
2023-06-13	2 325,57	2 308,98	2 320,96		1	
2023-06-12	2 315,54	2 295,17	2 299,50		1	
2023-06-09	2 309,13	2 292,92	2 301,98		1	
2023-06-08	2 311,53	2 295,46	2 302,98		1	
2023-06-07	2 311,80	2 299,86	2 305,36		1	
2023-06-05	2 311,42	2 288,79	2 293,06		1	
2023-06-02	2 295,03	2 266,14	2 292,50		1	
2023-06-01	2 257,14	2 238,39	2 252,43		1	
2023-05-31	2 259,06	2 233,11	2 234,96		1	
2023-05-30	2 279,43	2 253,54	2 255,00		1	
2023-05-29	2 283,63	2 253,34	2 258,64		1	
2023-05-26	2 276,87	2 239,43	2 272,20		1	
2023-05-25	2 244,19	2 221,04	2 231,57		1	
2023-05-24	2 250,81	2 224,41	2 229,89		1	
2023-05-23	2 282,26	2 265,62	2 267,34		1	
2023-05-22	2 286,61	2 276,22	2 283,31		1	
2023-05-19	2 295,53	2 276,88	2 288,37		1	
2023-05-17	2 248,29	2 232,59	2 246,20		1	
2023-05-16	2 250,84	2 230,64	2 236,25		1	
2023-05-15	2 252,42	2 239,76	2 251,24		1	
2023-05-12	2 248,75	2 231,45	2 236,03		1	
2023-05-11	2 240,04	2 211,42	2 229,91		1	
2023-05-10	2 232,25	2 189,73	2 208,66		1	
2023-05-09	2 236,68	2 208,52	2 223,58		1	
2023-05-08	2 245,21	2 229,39	2 239,10		1	
2023-05-05	2 240,48	2 210,00	2 240,48		1	
2023-05-04	2 235,29	2 219,91	2 228,17		1	
2023-05-03	2 255,60	2 228,82	2 238,76		1	
2023-05-02	2 273,63	2 232,29	2 235,03		1	
2023-04-28	2 285,89	2 247,79	2 270,58		1	
2023-04-27	2 284,63	2 225,85	2 271,10		1	
2023-04-26	2 247,71	2 221,17	2 240,08		1	
2023-04-25	2 256,50	2 237,10	2 249,20		1	
2023-04-24	2 264,67	2 247,27	2 259,82		1	
2023-04-21	2 259,46	2 235,96	2 246,41		1	
2023-04-20	2 257,37	2 241,39	2 248,82		1	
2023-04-19	2 255,88	2 242,27	2 249,68		1	
2023-04-18	2 265,81	2 245,60	2 256,28		1	
2023-04-17	2 263,60	2 245,51	2 249,67		1	
2023-04-14	2 254,63	2 231,05	2 249,47		1	
2023-04-13	2 225,14	2 206,77	2 225,14		1	
2023-04-12	2 239,01	2 209,77	2 215,15		1	
2023-04-11	2 211,18	2 197,96	2 211,18		1	
2023-04-06	2 185,33	2 171,50	2 184,73		1	
2023-04-05	2 209,72	2 166,57	2 174,94		1	
2023-04-04	2 238,16	2 211,42	2 215,91		1	
2023-04-03	2 220,13	2 208,09	2 211,02		1	
2023-03-31	2 225,63	2 193,57	2 223,74		1	
2023-03-30	2 199,61	2 152,84	2 199,44		1	
2023-03-29	2 149,36	2 128,68	2 149,36		1	
2023-03-28	2 132,21	2 110,49	2 115,61		1	
2023-03-27	2 129,54	2 100,43	2 111,77		1	
2023-03-24	2 122,74	2 083,53	2 087,81		1	
2023-03-23	2 140,54	2 111,74	2 136,00		1	
2023-03-22	2 155,36	2 139,29	2 146,83		1	
2023-03-21	2 152,64	2 130,36	2 145,40		1	
2023-03-20	2 130,44	2 050,43	2 118,71		1	
2023-03-17	2 145,89	2 076,04	2 088,02		1	
2023-03-16	2 134,36	2 085,40	2 125,23		1	
2023-03-15	2 179,73	2 096,69	2 096,80		1	
2023-03-14	2 193,75	2 146,20	2 186,36		1	
2023-03-13	2 202,15	2 137,58	2 156,58		1	
2023-03-10	2 213,56	2 178,64	2 192,06		1	
2023-03-09	2 252,57	2 228,71	2 245,11		1	
2023-03-08	2 253,47	2 238,30	2 248,52		1	
2023-03-07	2 268,96	2 243,41	2 244,66		1	
2023-03-06	2 268,69	2 253,20	2 261,86		1	
2023-03-03	2 254,32	2 223,58	2 252,76		1	
2023-03-02	2 219,81	2 198,26	2 214,67		1	
2023-03-01	2 243,98	2 210,49	2 214,68		1	
2023-02-28	2 233,20	2 214,32	2 226,75		1	
2023-02-27	2 244,89	2 216,44	2 234,99		1	
2023-02-24	2 240,01	2 198,17	2 206,43		1	
2023-02-23	2 242,02	2 225,46	2 227,58		1	
2023-02-22	2 225,48	2 202,85	2 223,30		1	
2023-02-21	2 246,29	2 216,09	2 223,49		1	
2023-02-20	2 254,57	2 235,59	2 238,45		1	
2023-02-17	2 257,93	2 230,71	2 249,38		1	
2023-02-16	2 268,93	2 241,96	2 256,54		1	
2023-02-15	2 255,47	2 224,93	2 255,14		1	
2023-02-14	2 254,38	2 224,80	2 232,45		1	
2023-02-13	2 234,98	2 206,86	2 233,18		1	
2023-02-10	2 227,29	2 189,09	2 200,77		1	
2023-02-09	2 265,72	2 232,15	2 235,37		1	
2023-02-08	2 269,51	2 244,10	2 244,14		1	
2023-02-07	2 267,29	2 250,07	2 254,80		1	
2023-02-06	2 282,73	2 253,04	2 258,20		1	
2023-02-03	2 295,30	2 265,28	2 294,52		1	
2023-02-02	2 287,54	2 226,35	2 287,40		1	
2023-02-01	2 215,47	2 195,51	2 210,13		1	
2023-01-31	2 202,89	2 184,34	2 198,54		1	
2023-01-30	2 204,23	2 183,39	2 200,08		1	
2023-01-27	2 204,15	2 187,29	2 197,66		1	
2023-01-26	2 208,69	2 184,04	2 190,53		1	
2023-01-25	2 218,95	2 193,52	2 204,30		1	
2023-01-24	2 229,46	2 204,42	2 216,17		1	
2023-01-23	2 226,24	2 204,61	2 224,53		1	
2023-01-20	2 197,73	2 179,00	2 197,42		1	
2023-01-19	2 210,10	2 173,89	2 173,89		1	
2023-01-18	2 234,51	2 211,74	2 218,74		1	
2023-01-17	2 225,22	2 209,96	2 212,83		1	
2023-01-16	2 226,08	2 208,97	2 225,10		1	
2023-01-13	2 225,87	2 204,74	2 217,18		1	
2023-01-12	2 234,70	2 200,29	2 225,27		1	
2023-01-11	2 216,88	2 183,40	2 207,80		1	
2023-01-10	2 184,19	2 168,61	2 180,70		1	
2023-01-09	2 191,82	2 160,59	2 191,82		1	
2023-01-05	2 137,54	2 110,41	2 137,44		1	
2023-01-04	2 120,55	2 095,51	2 120,35		1	
2023-01-03	2 104,63	2 069,67	2 090,03		1	
2023-01-02	2 075,76	2 054,80	2 075,76		1	
2022-12-30	2 072,24	2 043,23	2 043,40		1	
2022-12-29	2 075,41	2 042,83	2 075,31		1	
2022-12-28	2 070,41	2 048,16	2 052,76		1	
2022-12-27	2 079,66	2 062,80	2 067,61		1	
2022-12-23	2 061,16	2 043,97	2 054,33		1	
2022-12-22	2 076,70	2 039,90	2 043,30		1	
2022-12-21	2 066,05	2 043,07	2 065,13		1	
2022-12-20	2 043,88	2 023,77	2 036,42		1	
2022-12-19	2 061,94	2 044,52	2 047,98		1	
2022-12-16	2 084,44	2 043,73	2 046,09		1	
2022-12-15	2 119,10	2 079,52	2 079,52		1	
2022-12-14	2 149,81	2 111,47	2 139,03		1	
2022-12-13	2 162,30	2 106,80	2 140,70		1	
2022-12-12	2 111,40	2 095,22	2 108,92		1	
2022-12-09	2 120,76	2 099,35	2 116,45		1	
2022-12-08	2 099,77	2 085,68	2 091,88		1	
2022-12-07	2 109,77	2 082,81	2 088,43		1	
2022-12-06	2 145,21	2 105,69	2 111,28		1	
2022-12-05	2 145,00	2 123,89	2 139,69		1	
2022-12-01	2 137,86	2 115,30	2 125,09		1	
2022-11-30	2 120,35	2 097,22	2 102,42		1	
2022-11-29	2 108,11	2 089,86	2 092,24		1	
2022-11-28	2 110,82	2 092,49	2 096,38		1	
2022-11-25	2 117,67	2 103,53	2 116,74		1	
2022-11-24	2 118,52	2 100,52	2 106,75		1	
2022-11-23	2 112,34	2 098,54	2 109,84		1	
2022-11-22	2 103,35	2 072,21	2 096,56		1	
2022-11-21	2 093,10	2 072,39	2 082,57		1	
2022-11-18	2 095,05	2 069,85	2 087,37		1	
2022-11-17	2 094,77	2 054,36	2 067,08		1	
2022-11-16	2 110,47	2 073,65	2 074,98		1	
2022-11-15	2 113,80	2 086,78	2 098,01		1	
2022-11-14	2 120,60	2 095,30	2 107,99		1	
2022-11-11	2 121,13	2 088,57	2 108,67		1	
2022-11-09	2 035,09	2 018,31	2 033,12		1	
2022-11-08	2 039,04	2 002,36	2 035,99		1	
2022-11-07	2 014,33	1 988,25	2 008,62		1	
2022-11-04	1 999,02	1 966,28	1 999,01		1	
2022-11-03	1 965,65	1 945,39	1 960,06		1	
2022-11-02	1 991,96	1 974,04	1 980,52		1	
2022-11-01	1 997,20	1 969,48	1 974,99		1	
2022-10-31	1 979,00	1 960,69	1 968,53		1	
2022-10-28	1 978,12	1 945,20	1 974,28		1	
2022-10-27	1 974,14	1 956,18	1 968,23		1	
2022-10-26	1 973,58	1 945,17	1 970,06		1	
2022-10-25	1 966,73	1 922,01	1 965,29		1	
2022-10-24	1 941,42	1 905,62	1 938,73		1	
2022-10-21	1 910,30	1 880,35	1 901,51		1	
2022-10-19	1 962,99	1 926,44	1 926,44		1	
2022-10-18	1 949,01	1 922,04	1 938,56		1	
2022-10-17	1 916,28	1 857,08	1 908,38		1	
2022-10-14	1 893,44	1 861,79	1 869,02		1	
2022-10-12	1 850,88	1 826,41	1 834,36		1	
2022-10-11	1 844,64	1 818,61	1 834,10		1	
2022-10-10	1 858,54	1 824,02	1 836,91		1	
2022-10-07	1 881,94	1 839,04	1 841,77		1	
2022-10-06	1 905,38	1 875,46	1 883,04		1	
2022-10-05	1 907,51	1 874,84	1 882,92		1	
2022-10-04	1 910,71	1 855,84	1 909,64		1	
2022-09-30	1 833,33	1 796,83	1 828,98		1	
2022-09-29	1 828,11	1 781,87	1 794,39		1	
2022-09-28	1 841,54	1 791,37	1 838,77		1	
2022-09-27	1 841,74	1 815,43	1 829,37		1	
2022-09-26	1 834,91	1 805,49	1 811,78		1	
2022-09-23	1 840,65	1 799,79	1 817,96		1	
2022-09-22	1 868,42	1 835,38	1 837,91		1	
2022-09-21	1 882,24	1 842,25	1 878,77		1	
2022-09-20	1 900,31	1 856,67	1 856,67		1	
2022-09-19	1 885,92	1 854,13	1 877,92		1	
2022-09-16	1 901,40	1 881,51	1 881,51		1	
2022-09-15	1 932,35	1 908,14	1 911,79		1	
2022-09-14	1 937,20	1 910,27	1 916,36		1	
2022-09-13	1 985,20	1 938,23	1 938,23		1	
2022-09-12	1 975,74	1 941,77	1 974,54		1	
2022-09-09	1 941,10	1 911,00	1 934,06		1	
2022-09-08	1 916,50	1 872,95	1 907,31		1	
2022-09-07	1 902,29	1 875,66	1 897,76		1	
2022-09-06	1 920,57	1 888,86	1 903,25		1	
2022-09-05	1 901,71	1 878,37	1 898,81		1	
2022-09-02	1 925,92	1 882,96	1 925,04		1	
2022-09-01	1 907,13	1 875,49	1 875,49		1	
2022-08-31	1 951,18	1 920,23	1 920,23		1	
2022-08-30	1 975,59	1 936,18	1 942,43		1	
2022-08-29	1 949,49	1 919,04	1 940,13		1	
2022-08-26	2 000,67	1 954,97	1 956,17		1	
2022-08-25	1 998,67	1 975,51	1 987,32		1	
2022-08-24	1 992,44	1 965,39	1 983,58		1	
2022-08-23	2 005,20	1 980,23	1 985,63		1	
2022-08-22	2 035,86	1 995,82	1 995,99		1	
2022-08-19	2 053,17	2 037,87	2 037,97		1	
2022-08-18	2 057,78	2 034,10	2 053,33		1	
2022-08-17	2 065,12	2 031,99	2 034,76		1	
2022-08-16	2 059,31	2 038,69	2 058,94		1	
2022-08-15	2 046,16	2 031,01	2 036,67		1	
2022-08-12	2 041,09	2 027,61	2 032,51		1	
2022-08-11	2 037,55	2 016,60	2 024,48		1	
2022-08-10	2 025,48	1 975,19	2 025,48		1	
2022-08-09	2 017,31	1 981,72	1 987,68		1	
